"WY","Month","Count_Sal","Sal_surf_mean","Sal_surf_sd","Date_median_sal","Sal_min","Sal_max","Survey_mostcommon_sal","Date_median","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1","Secchi_South","Secchi_West"
1999,11,23,2.64092553180197,1.91188282114413,"1998-11-04",0.125447064638138,5.26508140563965,"FMWT",1998-11-04,1998-11-24,1999-02-19,"No",1998,20920,3289.66666666667,24896.7333333333,206.3,4620.5,20569.7666666667,73.2596666666667,-2411.81666666667,1998-11-01,15758.064516129,6153.22580645161,22681.1290322581,202.387096774194,9349.35483870968,12297.3870967742,71.6025806451613,63.0403226296748,34.6760563598552
1999,12,99,0.819800854858124,1.20358201142239,"1998-12-16",0.0495661608874798,8.02997303009033,"FMWT",1998-12-16,1998-11-24,1999-02-19,"Yes",1998,44374.1935483871,4330.96774193548,50709.2903225806,585.838709677419,2348.58064516129,47241.2903225806,62.3503225806452,-112.66667139018,1998-12-01,20920,3289.66666666667,24896.7333333333,206.3,4620.5,20569.7666666667,73.2596666666667,55.0816323051647,40.3224850164715
2000,1,119,3.59284561885004,3.01683959039437,"2000-01-12",0.076384574174881,10.2700710296631,"FMWT",2000-01-12,2000-01-22,2000-03-06,"No",2000,24338.7096774194,2136.12903225806,28447.1612903226,458.548387096774,9885.64516129032,21545.5806451613,78.4161290322581,-7390.64516129032,2000-01-01,16548.3870967742,1688.38709677419,18642.6451612903,33.6129032258064,6427.32258064516,10467.2903225806,79.0738709677419,58.6799998912811,43.3429602139263
2000,2,175,0.624264483430556,0.332391005222131,"2000-02-08",0.0481287650763988,0.939377427101135,"FMWT",2000-02-08,2000-01-22,2000-03-06,"Yes",2000,62372.4137931034,7558.62068965517,100024.206896552,23577.9310344828,11677,94092.275862069,62.1148275862069,-6536.62068965517,2000-02-01,24338.7096774194,2136.12903225806,28447.1612903226,458.548387096774,9885.64516129032,21545.5806451613,78.4161290322581,35.8130081499495,34.8469945866553
2000,3,186,0.241882669288785,0.256912233785057,"2000-03-07",0.0581867210566998,2.9049026966095,"FMWT",2000-03-07,2000-01-22,2000-03-06,"Yes",2000,58561.2903225806,12097.7419354839,97021.6129032258,22249.3870967742,9118.58064516129,87838.3548387097,51.6358064516129,-2140.25161290323,2000-03-01,62372.4137931034,7558.62068965517,100024.206896552,23577.9310344828,11677,94092.275862069,62.1148275862069,44.9419353492798,34.1153846844139
2000,4,35,1.09705228805542,0.907208063203183,"2000-04-04",0.105673156678677,2.05581164360046,"Bay Study",2000-04-04,2000-01-22,2000-03-06,"Yes",2000,26640,5012.66666666667,33442.6,552.233333333333,5513.5,27294.3,61.5383333333333,-4253.6,2000-04-01,58561.2903225806,12097.7419354839,97021.6129032258,22249.3870967742,9118.58064516129,87838.3548387097,51.6358064516129,55.8387095072577,32.0866807977695
2000,11,163,3.50331093846289,3.55180534506699,"1999-11-04",0.0653685927391052,10.0694246292114,"FMWT",1999-11-04,2000-01-22,2000-03-06,"No",1999,13843.3333333333,2158,16457.6333333333,54,9519.16666666667,6804.16666666667,83.7253333333333,-7051.10820744899,1999-11-01,12380.6451612903,2531.93548387097,15417.6451612903,204.096774193548,9412.64516129032,4280.09677419355,86.2406451612903,60.2736843322453,46.9197080309374
2000,12,153,1.5728347489939,2.45811102863346,"1999-12-02",0.0696782618761063,9.29925060272217,"FMWT",1999-12-02,2000-01-22,2000-03-06,"No",1999,16548.3870967742,1688.38709677419,18642.6451612903,33.6129032258064,6427.32258064516,10467.2903225806,79.0738709677419,-5155.12787508394,1999-12-01,13843.3333333333,2158,16457.6333333333,54,9519.16666666667,6804.16666666667,83.7253333333333,76.5079363187154,39.2852112082109
2001,1,63,7.43250078081139,3.97746265698679,"2001-01-09",0.236434236168861,13.1299495697021,"FMWT",2001-01-09,2001-01-29,2001-03-04,"No",2001,17190.3225806452,2441.61290322581,20362.9677419355,241,6718.96774193548,15211.4516129032,79.6516129032258,-4592.4390290965,2001-01-01,13670.9677419355,2238.06451612903,16342.7741935484,43.2258064516129,8768.29032258065,5996.61290322581,83.8558064516129,100.333333333333,43.9622639885489
2001,2,78,2.17127359677584,2.40423866642832,"2001-02-06",0.0735099911689758,9.6864652633667,"FMWT",2001-02-06,2001-01-29,2001-03-04,"Yes",2001,20867.8571428571,3092.14285714286,25724.7142857143,870.642857142857,8371,19567.9285714286,74.4153571428571,-6080.71428571429,2001-02-01,17190.3225806452,2441.61290322581,20362.9677419355,241,6718.96774193548,15211.4516129032,79.6516129032258,60.3521126643033,35.1201716896802
2001,3,52,0.858819311484694,1.21435041989498,"2001-03-13",0.0768637508153915,4.19117641448975,"FMWT",2001-03-13,2001-01-29,2001-03-04,"Yes",2001,24696.7741935484,3430.32258064516,31025.5161290323,1920.29032258065,7945.22580645161,23427.3870967742,67.7674193548387,-5374.25418179398,2001-03-01,20867.8571428571,3092.14285714286,25724.7142857143,870.642857142857,8371,19567.9285714286,74.4153571428571,44.4043715091351,24.0497513070925
2001,4,13,1.22609487233254,1.76642030502071,"2001-04-11",0.0960550606250763,5.06010437011719,"Bay Study",2001-04-11,2001-01-29,2001-03-04,"Yes",2001,12306,3008,16411.7,281.766666666667,4283.4,12219.0666666667,73.7946666666667,-2975.95416449721,2001-04-01,24696.7741935484,3430.32258064516,31025.5161290323,1920.29032258065,7945.22580645161,23427.3870967742,67.7674193548387,52.7805155017656,25.5681819735151
2001,11,86,3.52024927466761,3.41204500788665,"2000-11-13",0.0754262953996658,11.0757875442505,"FMWT",2000-11-13,2001-01-29,2001-03-04,"No",2000,12283.3333333333,2525.66666666667,15253.0666666667,43.3,9451.1,4742.9,85.037,-8135,2000-11-01,11683.8709677419,2826.12903225806,15034.8064516129,133,9397.70967741935,5736.58064516129,86.901935483871,101.757575757576,42.3706292780963
2001,12,166,2.98919377193214,3.61558045509127,"2000-12-07",0.0840544626116753,12.7300338745117,"FMWT",2000-12-07,2001-01-29,2001-03-04,"No",2000,13670.9677419355,2238.06451612903,16342.7741935484,43.2258064516129,8768.29032258065,5996.61290322581,83.8558064516129,-6686.14221633397,2000-12-01,12283.3333333333,2525.66666666667,15253.0666666667,43.3,9451.1,4742.9,85.037,99.5151515151515,47.8943662483927
2002,1,263,0.351643219646845,0.321660424514061,"2002-01-08",0.0835748836398125,2.85728120803833,"SKT",2002-01-08,2001-12-04,2002-01-06,"Yes",2002,38270.9677419355,2661.61290322581,48946.1612903226,6523.03225806452,10839.2903225806,38731.4193548387,64.1893548387097,-8331.22714331404,2002-01-01,27377.4193548387,2063.54838709677,32056.8709677419,1858.48387096774,9876.35483870968,24737.2580645161,73.6022580645161,40.2876711896021,26.4307691981242
2002,2,399,1.90705775613325,1.15394005902537,"2002-02-05",0.102785930037498,12.6522941589355,"SKT",2002-02-05,2001-12-04,2002-01-06,"Yes",2002,18175,1897.5,20926.1071428571,52.3214285714286,8769.28571428571,12029.6785714286,72.3617857142857,-7325.04966710205,2002-02-01,38270.9677419355,2661.61290322581,48946.1612903226,6523.03225806452,10839.2903225806,38731.4193548387,64.1893548387097,62.2307694737728,36.6982248023417
