"Station","Longitude","Latitude"
"19-27-SJT03",-121.679496765137,38.0689506530762
"19-27-SM03",-121.943748474121,38.1679382324219
"19-27-USSC01",-121.584838867188,38.4808692932129
"19-28-SM02",-122.051132202148,38.155029296875
"19-29-LSR01",-121.793907165527,38.0582084655762
"19-29-LSSC02",-121.616218566895,38.4035606384277
"19-29-LSSC03",-121.647918701172,38.3334197998047
"19-30-SBW01",-122.124420166016,38.0509414672852
"19-31-LSSC01",-121.66136932373,38.2756843566895
"20-19-SBM02",-121.975708007812,38.0744781494141
"20-20-LSSC03",-121.633262634277,38.3664817810059
"20-21-LSSC02",-121.644908905029,38.3418598175049
"20-21-SM01",-121.931587219238,38.1698112487793
"20-22-LSR02",-121.793479919434,38.0649795532227
"20-25-LSR03",-121.827072143555,38.0672492980957
"20-25-SM01",-121.891242980957,38.1026992797852
"20-26-LSR03",-121.837051391602,38.0698089599609
"20-29-SBM02",-122.034851074219,38.0593795776367
"20-30-LSSC02",-121.623489379883,38.3880615234375
"20-32-LSSC03",-121.608642578125,38.4192504882812
"20-34-LSSC02",-121.629981994629,38.3748092651367
"21-24-USSC01",-121.58415222168,38.5092887878418
"315",-122.393600463867,38.0381507873535
"317",-122.409034729004,37.9890174865723
"318",-122.345001220703,38.0213012695312
"319",-122.285499572754,38.0402984619141
"320",-122.317169189453,38.0626678466797
"321",-122.367500305176,38.0662002563477
"322",-122.413803100586,38.0530014038086
"323",-122.430000305176,38.0186996459961
"325",-122.295501708984,38.0560493469238
"327",-122.366722106934,38.047721862793
"328",-122.348419189453,38.0600509643555
"329",-122.305877685547,38.0631217956543
"331",-122.393997192383,38.0653114318848
"334",-122.339332580566,38.0755310058594
"335",-122.32430267334,38.070499420166
"336",-122.278747558594,38.0627517700195
"337",-122.272323608398,38.0595016479492
"338",-122.248916625977,38.0600318908691
"339",-122.256797790527,38.0666999816895
"340",-122.263275146484,38.0992240905762
"341",-122.280197143555,38.1282806396484
"346",-122.300003051758,38.0555000305176
"401",-122.212448120117,38.0575790405273
"403",-122.171920776367,38.048828125
"404",-122.178871154785,38.0464515686035
"405",-122.14672088623,38.0399169921875
"406",-122.150573730469,38.0279998779297
"408",-122.128967285156,38.0351295471191
"409",-122.106369018555,38.0445518493652
"411",-122.076530456543,38.050220489502
"412",-122.060066223145,38.0646209716797
"413",-122.047302246094,38.0659484863281
"414",-122.111282348633,38.052131652832
"415",-122.107719421387,38.0567817687988
"416",-122.094146728516,38.0702018737793
"417",-122.083000183105,38.0807495117188
"418",-122.069732666016,38.0938301086426
"427",-122.152198791504,38.0354995727539
"428",-122.10530090332,38.0620002746582
"429",-122.076835632324,38.0858345031738
"430",-122.055000305176,38.1082000732422
"431",-122.02799987793,38.1052017211914
"432",-122.108001708984,38.0424995422363
"433",-121.982818603516,38.060115814209
"447",-122.178337097168,38.0559158325195
"501",-122.026336669922,38.0733337402344
"502",-122.003967285156,38.0599708557129
"503",-121.983200073242,38.0602188110352
"504",-121.986083984375,38.051944732666
"505",-121.95597076416,38.05712890625
"507",-121.939002990723,38.0522804260254
"508",-121.917221069336,38.0471649169922
"509",-121.904121398926,38.0454711914062
"510",-121.887832641602,38.0488815307617
"511",-121.879997253418,38.0513000488281
"512",-121.877220153809,38.0563812255859
"513",-121.867752075195,38.0588607788086
"514",-121.84400177002,38.0638885498047
"515",-122.014717102051,38.0919990539551
"516",-121.994079589844,38.078670501709
"517",-121.979377746582,38.0702209472656
"518",-121.968017578125,38.0687484741211
"519",-121.958084106445,38.0747489929199
"520",-121.86311340332,38.0321655273438
"534",-121.956199645996,38.0714492797852
"535",-121.917663574219,38.0473175048828
"601",-122.035598754883,38.103099822998
"602",-122.041831970215,38.1178283691406
"603",-122.048049926758,38.1155204772949
"604",-122.057167053223,38.1216316223145
"605",-122.05738067627,38.1485290527344
"606",-122.02791595459,38.170581817627
"608",-121.883323669434,38.0886993408203
"609",-121.937835693359,38.1670837402344
"610",-121.889114379883,38.1221961975098
"701",-121.834747314453,38.0650482177734
"702",-121.814002990723,38.0611114501953
"703",-121.796920776367,38.0608711242676
"704",-121.790313720703,38.0665817260742
"705",-121.76180267334,38.0792503356934
"706",-121.750442504883,38.0860824584961
"707",-121.707862854004,38.1146926879883
"708",-121.696701049805,38.1260795593262
"709",-121.690483093262,38.1478691101074
"710",-121.682281494141,38.1619987487793
"711",-121.662246704102,38.177417755127
"712",-121.639221191406,38.1914710998535
"713",-121.661056518555,38.206470489502
"715",-121.675025939941,38.2257766723633
"716",-121.691917419434,38.2576942443848
"717",-121.631378173828,38.1701698303223
"718",-121.729026794434,38.2575569152832
"719",-121.647499084473,38.3334999084473
"721",-121.702766418457,38.2681503295898
"723",-121.673080444336,38.2372512817383
"724",-121.558776855469,38.2357788085938
"735",-121.569679260254,38.3334312438965
"736",-121.804336547852,38.0603332519531
"750",-121.75,38.0846672058105
"751",-121.717002868652,38.1054992675781
"752",-121.712501525879,38.1041984558105
"760",-121.684829711914,38.1523323059082
"761",-121.677169799805,38.1678352355957
"762",-121.656997680664,38.1749992370605
"796",-121.584396362305,38.4738693237305
"797",-121.615600585938,38.4046211242676
"801",-121.84400177002,38.0436935424805
"802",-121.838752746582,38.0352783203125
"804",-121.791305541992,38.0164451599121
"806",-121.761703491211,38.0287208557129
"807",-121.732032775879,38.0299491882324
"808",-121.719421386719,38.0333709716797
"809",-121.693031311035,38.0537796020508
"810",-121.676223754883,38.0708312988281
"811",-121.66487121582,38.0974197387695
"812",-121.639915466309,38.089916229248
"813",-121.627670288086,38.099781036377
"814",-121.602203369141,38.1012802124023
"815",-121.571136474609,38.0871391296387
"837",-121.76000213623,38.0245018005371
"853",-121.736999511719,38.0284996032715
"863",-121.651100158691,38.0914497375488
"864",-121.597999572754,38.1011657714844
"865",-121.576332092285,38.0866661071777
"902",-121.582664489746,38.0203895568848
"903",-121.56746673584,38.1062812805176
