"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","pre2009"
1998,11,1997-11-12,53.2903829871781,NA,171,"preBiOp"
1998,12,1997-12-17,54.7055758143904,NA,1432,"preBiOp"
1999,1,1999-01-11,54.0943147537823,NA,1744,"preBiOp"
1999,2,1999-02-10,56.3789290026334,NA,333,"preBiOp"
1999,3,1999-03-15,55.0215363920384,NA,449,"preBiOp"
1999,4,1999-04-14,55.1148038528262,NA,894,"preBiOp"
1999,11,1998-11-14,55.0845367654304,NA,373,"preBiOp"
1999,12,1998-12-24,55.0300469284889,NA,1325,"preBiOp"
2000,1,2000-01-10,54.2911271208871,NA,1922,"preBiOp"
2000,2,2000-02-08,60.2387661227123,NA,352,"preBiOp"
2000,3,2000-03-09,58.3854514906602,NA,413,"preBiOp"
2000,4,2000-04-09,56.0438497264934,NA,267,"preBiOp"
2000,11,1999-11-10,54.9303281890486,NA,565,"preBiOp"
2000,12,1999-12-16,53.7666387734943,NA,2777,"preBiOp"
2001,1,2001-01-19,54.8810816758607,NA,733,"preBiOp"
2001,2,2001-02-06,54.4538628862567,NA,636,"preBiOp"
2001,3,2001-03-14,55.7534419894061,NA,161,"preBiOp"
2001,4,2001-04-08,60.9241829530069,NA,58,"preBiOp"
2001,11,2000-11-14,54.4411344242841,NA,355,"preBiOp"
2001,12,2000-12-08,53.6735306079264,NA,398,"preBiOp"
2002,1,2002-01-08,56.8055416214548,NA,396,"preBiOp"
2002,2,2002-02-05,58.657064383012,NA,460,"preBiOp"
2002,3,2002-03-05,58.0236830937727,NA,284,"preBiOp"
2002,4,2002-04-15,54.9660703438782,NA,34,"preBiOp"
2002,11,2001-11-13,55.1725370032195,NA,82,"preBiOp"
2002,12,2001-12-11,51.8965613537857,NA,97,"preBiOp"
2003,1,2003-01-13,54.4034269641824,NA,227,"preBiOp"
2003,2,2003-02-20,56.9965503107086,NA,425,"preBiOp"
2003,3,2003-03-18,60.5979993294031,NA,460,"preBiOp"
2003,4,2003-04-14,55.9544820468818,NA,119,"preBiOp"
2003,11,2002-11-06,52.8664718646062,NA,89,"preBiOp"
2003,12,2002-12-22,55.199751613482,NA,251,"preBiOp"
2004,1,2004-01-27,59.1636257147251,NA,1060,"preBiOp"
2004,2,2004-02-17,56.1806918938581,NA,481,"preBiOp"
