"WY","Month","Region","Secchi","SampleSize_secchi"
1979,1,"West",27.25,8
1979,2,"North",37.1818181818182,11
1979,2,"South",41.36,25
1979,2,"West",28.5,34
1979,3,"North",39.5,6
1979,3,"South",44.6538461538462,26
1979,3,"West",37.5,18
1979,4,"North",36.1666666666667,6
1979,4,"South",44.04,25
1979,4,"West",29.8210528034913,95
1979,5,"North",45.5,6
1979,5,"South",37.6153846153846,26
1979,5,"West",24.1875000558794,96
1979,6,"North",73.9805825011244,103
1979,6,"South",34.3,20
1979,6,"West",25.0564102197305,195
1979,7,"North",43.25,12
1979,7,"South",36.0526315789474,57
1979,7,"West",22.2545456279408,55
1979,8,"North",52.8333333333333,6
1979,8,"South",42.6538461538462,26
1979,8,"West",26.8571428571429,28
1979,9,"North",51.5,6
1979,9,"South",50.32,25
1979,9,"West",37.6923076923077,13
1979,10,"North",73.4117647058823,17
1979,10,"South",53.0512820512821,39
1979,10,"West",25.02,50
1979,11,"North",63.7142857142857,14
1979,11,"South",64.8571428571429,21
1979,11,"West",28.4651162790698,43
1979,12,"North",63.9285714285714,14
1979,12,"South",58.0952380952381,21
1979,12,"West",30.75,40
1980,1,"West",27.6666673173507,24
1980,2,"North",34,3
1980,2,"South",29.4,10
1980,2,"West",24.3728812912763,59
1980,3,"North",27.1666666666667,6
1980,3,"South",40.08,25
1980,3,"West",27.4117647724993,68
1980,4,"North",61.3333333333333,6
1980,4,"South",47.6,25
1980,4,"West",31.5725805769043,124
1980,5,"North",65.6666666666667,6
1980,5,"South",49.1363636363636,22
1980,5,"West",29.1538460429732,143
1980,6,"North",71.7950814786504,244
1980,6,"South",43.3636363636364,22
1980,6,"West",26.303278827765,244
1980,7,"North",62.4,10
1980,7,"South",43.7090909090909,55
1980,7,"West",21.5714285714286,84
1980,8,"North",59.25,8
1980,8,"South",47.8666666666667,30
1980,8,"West",24.25,60
1980,9,"North",68.3,10
1980,9,"South",51.9210526315789,38
1980,9,"West",28.032967032967,91
1980,10,"North",59,6
1980,10,"South",52.2307692307692,26
1980,10,"West",26.4375,16
1980,11,"North",61.3333333333333,3
1980,11,"South",63.3076923076923,13
1980,11,"West",34.8888888888889,9
1980,12,"North",88,1
1980,12,"South",49.2,5
1980,12,"West",43,2
1981,1,"North",63.3333333333333,3
1981,1,"South",64.5384615384615,13
1981,1,"West",28.7608695652174,46
1981,2,"North",34.6666666666667,3
1981,2,"South",39.2307692307692,13
1981,2,"West",19.1282051282051,39
1981,3,"North",30,6
1981,3,"South",49.4782608695652,23
1981,3,"West",21.948275862069,58
1981,4,"North",61.1666666666667,6
1981,4,"South",47.8846153846154,26
1981,4,"West",22.8252428793213,103
1981,5,"North",54.3333333333333,6
1981,5,"South",38.3846153846154,26
1981,5,"West",28.5104164158305,96
1981,6,"North",83.184930984288,146
1981,6,"South",41,37
1981,6,"West",25.2941174706992,170
1981,7,"North",48.6666666666667,9
1981,7,"South",44.3555555555556,45
1981,7,"West",29.75641029309,78
1981,8,"North",60.5,6
1981,8,"South",53.9583333333333,24
1981,8,"West",26.8048780487805,41
1981,9,"North",54.1818181818182,11
1981,9,"South",55.625,40
1981,9,"West",31.9054054054054,74
1981,10,"North",76.9090909090909,11
1981,10,"South",57.5263157894737,38
1981,10,"West",26.5145629846934,103
1981,11,"North",77.875,8
1981,11,"South",55.72,25
1981,11,"West",32.9900990299659,101
1981,12,"North",34,8
1981,12,"South",56.56,25
1981,12,"West",30.6201549204745,129
1982,1,"North",44,3
1982,1,"South",37,13
1982,1,"West",25.1142857142857,35
1982,2,"North",33,3
1982,2,"South",39.2307692307692,13
1982,2,"West",27.1666666666667,36
1982,3,"North",40.8333333333333,6
1982,3,"South",55.9230769230769,26
1982,3,"West",29.9574468085106,47
1982,4,"North",20.6666666666667,3
1982,4,"South",50.1764705882353,17
1982,4,"West",26.6184208722491,76
1982,5,"North",52.3333333333333,3
1982,5,"South",56.4615384615385,13
1982,5,"West",43.0392154517516,153
1982,6,"North",59.125,8
1982,6,"South",42.5675675675676,37
1982,6,"West",33.8124998286367,176
1982,7,"North",68.5,10
1982,7,"South",44.9166666666667,48
1982,7,"West",23.6447368421053,76
1982,8,"North",53.5714285714286,7
1982,8,"South",41.972972972973,37
1982,8,"West",21.75,56
1982,9,"North",64.5,12
1982,9,"South",56.75,40
1982,9,"West",30.675,80
1982,10,"North",58.2727272727273,11
1982,10,"South",64.3888888888889,36
1982,10,"West",41.5584415584416,77
1982,11,"North",47.7777777777778,9
1982,11,"South",63.24,25
1982,11,"West",46.1506849315069,73
1982,12,"North",40.6666666666667,6
1982,12,"South",46.4736842105263,19
1982,12,"West",27.5396825396825,63
1983,1,"North",30,3
1983,1,"South",36,12
1983,1,"West",24.2162162162162,37
1983,2,"North",25.3333333333333,3
1983,2,"South",31.6923076923077,13
1983,2,"West",24.1785714285714,28
1983,3,"North",21.3333333333333,3
1983,3,"South",36.4615384615385,13
1983,3,"West",18.2,35
1983,4,"North",18.6666666666667,3
1983,4,"South",52.6666666666667,12
1983,4,"West",31.8514854447676,101
1983,5,"North",29.6666666666667,3
1983,5,"South",53.5384615384615,13
1983,5,"West",42.5961536658116,156
1983,6,"North",59.3333333333333,3
1983,6,"South",44.6923076923077,13
1983,6,"West",41.837988362632,179
1983,7,"North",63.2857142857143,7
1983,7,"South",42.7608695652174,46
1983,7,"West",35.2205881406279,68
1983,8,"North",64.75,4
1983,8,"South",44,22
1983,8,"West",29.8166666666667,60
1983,9,"North",65.8888888888889,9
1983,9,"South",59.4666666666667,30
1983,9,"West",45.8448275862069,58
1983,10,"North",83.75,12
1983,10,"South",69.3030303030303,33
1983,10,"West",36.9428571428571,70
1983,11,"North",68.75,8
1983,11,"South",61.9655172413793,29
1983,11,"West",33.2753623188406,69
1983,12,"North",28.75,8
1983,12,"South",37.5,24
1983,12,"West",28.969696969697,66
1984,1,"North",37.6666666666667,3
1984,1,"South",43.7272727272727,11
1984,1,"West",33.25,32
1984,2,"North",70,3
1984,2,"South",78.8181818181818,11
1984,2,"West",37.53125,32
1984,3,"North",65.6666666666667,3
1984,3,"South",68.6363636363636,11
1984,3,"West",41.2962962962963,27
1984,4,"North",76.3333333333333,3
1984,4,"South",69.3636363636364,11
1984,4,"West",50.6458332973222,96
