"WY","Month","Count_Sal","Sal_surf_mean","Sal_surf_sd","Date_median_sal","Sal_min","Sal_max","Survey_mostcommon_sal"
1983,4,6,0.26073112587134,0.373112724426278,1983-04-05,0.0917322337627411,1.02199673652649,"Bay Study"
1983,11,58,0.606088364817973,1.06191100336624,1982-11-11,0.0691993683576584,4.25975942611694,"FMWT"
1983,12,70,0.387950273390327,0.821568305287873,1982-12-09,0.0888520404696465,4.50882291793823,"FMWT"
1984,1,3,2.16918230056763,1.80037183195295,1984-01-10,0.0902919769287109,3.20862746238708,"Bay Study"
1984,2,5,5.92668652534485,5.29643175696375,1984-02-07,0.108561977744102,9.79464435577393,"Bay Study"
1984,3,15,8.42430769155423,6.0887282320746,1984-03-06,0.095094159245491,12.8287487030029,"Bay Study"
1984,4,25,0.306760219335556,0.658115336295469,1984-04-02,0.0893319770693779,2.49214196205139,"Bay Study"
1984,11,95,0.238885593335879,0.185337182899603,1983-11-09,0.0893319770693779,1.33468163013458,"FMWT"
1984,12,17,0.40705405088032,0.551187053081648,1983-12-06,0.0754262953996658,2.11239862442017,"FMWT"
1985,1,6,0.254312497874101,0.274146956780269,1985-01-10,0.142392471432686,0.813912630081177,"Bay Study"
1985,2,7,0.45058197421687,0.511901058013338,1985-02-05,0.166220337152481,1.44367599487305,"Bay Study"
1985,3,2,0.635826446115971,0.705362101855727,1985-03-04,0.13706012070179,1.13459277153015,"Bay Study"
1985,11,6,3.34170337518056,2.8018947787187,1984-11-05,0.335133492946625,5.85058450698853,"Bay Study"
1985,12,29,0.398930768257585,0.436578860873415,1984-12-06,0.0888520404696465,1.7683082818985,"FMWT"
1986,1,1,1.92386293411255,NA,1986-01-06,1.92386293411255,1.92386293411255,"Bay Study"
1986,2,4,0.977282375097275,0.462953349670557,1986-02-03,0.576353013515472,1.37821173667908,"Bay Study"
1986,3,15,0.136301239331563,0.171203740084322,1986-03-03,0.0462118349969387,0.554156839847565,"Bay Study"
1986,11,20,1.33048657551408,0.357300223128247,1985-11-08,0.110007002949715,1.70855629444122,"FMWT"
1986,12,30,2.13307077735662,1.1277913253865,1985-12-03,0.128347620368004,2.8515477180481,"Bay Study"
1987,1,6,0.523366282383601,0.294169778675764,1987-01-05,0.403271973133087,1.12383782863617,"Bay Study"
1987,3,3,1.61369180679321,0,1987-03-02,1.61369180679321,1.61369180679321,"Bay Study"
1987,4,1,1.13997256755829,NA,1987-04-06,1.13997256755829,1.13997256755829,"Bay Study"
1987,11,35,3.71908894223826,2.05361222953069,1986-11-05,0.172562405467033,6.59881210327148,"FMWT"
1987,12,70,3.48983876492296,2.55015128437883,1986-12-04,0.143362641334534,8.92996788024902,"FMWT"
1988,2,3,0.257910594344139,0.0151729031905947,1988-02-01,0.240390434861183,0.266670674085617,"Bay Study"
1988,3,1,9.41335391998291,NA,1988-03-07,9.41335391998291,9.41335391998291,"Bay Study"
1988,11,83,1.64025975099529,1.11058669221412,1987-11-16,0.235939905047417,4.75961923599243,"FMWT"
1988,12,58,1.63993360680239,1.90455515641333,1987-12-11,0.0926925912499428,8.96216011047363,"FMWT"
1989,1,1,2.24335169792175,NA,1989-01-05,2.24335169792175,2.24335169792175,"Bay Study"
1989,2,1,3.28389954566956,NA,1989-02-01,3.28389954566956,3.28389954566956,"Bay Study"
1989,11,22,2.30210626125336,0.992312739838743,1988-11-15,0.808642983436584,3.41274929046631,"FMWT"
1989,12,19,1.01907354122714,1.12608671948194,1988-12-13,0.287580460309982,5.40673589706421,"FMWT"
1990,3,2,2.75149291753769,1.19958874423258,1990-03-05,1.90325558185577,3.5997302532196,"Bay Study"
1990,11,136,1.7547004561433,0.89985118206241,1989-11-13,0.0816568657755852,3.44880294799805,"FMWT"
1990,12,39,2.71879226580644,2.91334091536133,1989-12-11,0.399723678827286,12.9740209579468,"FMWT"
1991,1,153,1.84735923518542,2.84435892360874,1991-01-09,0.0974967032670975,12.6614379882812,"FMWT"
1991,2,42,3.64023892989471,3.48777499148868,1991-02-06,0.116273604333401,10.7945547103882,"FMWT"
1991,3,39,1.66350329992099,3.02018063145149,1991-03-07,0.106154508888721,9.7030029296875,"FMWT"
1991,4,1,0.367862343788147,NA,1991-04-04,0.367862343788147,0.367862343788147,"Bay Study"
1991,11,136,1.45570683473831,1.07516437714524,1990-11-09,0.117720879614353,5.34099245071411,"FMWT"
1991,12,15,4.04780467748642,3.97784024561427,1990-12-10,0.57583624124527,11.1363735198975,"FMWT"
1992,1,36,0.982101762874259,1.36398994950564,1992-01-09,0.0989387184381485,5.94542837142944,"FMWT"
1992,2,25,3.33506393015385,3.79717229233085,1992-02-04,0.16524538397789,11.6999607086182,"FMWT"
1992,3,28,0.414533064833709,0.566104779916342,1992-03-17,0.0859730988740921,2.14269757270813,"FMWT"
1992,4,3,0.347971975803375,0.274171482112896,1992-04-13,0.189678996801376,0.664557933807373,"Bay Study"
1992,11,248,2.07552586576992,1.87362937720303,1991-11-08,0.12158241122961,10.7656354904175,"FMWT"
1992,12,34,2.5127224106999,2.97580669052781,1991-12-06,0.100381106138229,11.701904296875,"FMWT"
1993,1,12,3.5083463465174,2.11013275428669,1993-01-08,0.277614384889603,5.79774808883667,"FMWT"
1993,2,11,0.354700123044577,0.500163125858996,1993-02-08,0.103267028927803,1.48523926734924,"FMWT"
1993,3,26,0.187082221588263,0.202491647219951,1993-03-10,0.0433354303240776,1.16366302967072,"FMWT"
1993,4,8,0.0816437914036214,0.0265253052832716,1993-04-15,0.0591443218290806,0.140937581658363,"FMWT"
1993,11,51,0.703007116183346,0.910594305645708,1992-11-06,0.114826761186123,6.51658630371094,"FMWT"
1993,12,23,3.57469496454882,3.29376650476717,1992-12-11,0.148702248930931,10.4345779418945,"FMWT"
1994,1,91,4.41113400385602,3.06070092936875,1994-01-11,0.108080394566059,9.73672294616699,"FMWT"
1994,2,116,2.83897296377811,1.9905721573222,1994-02-10,0.0902919769287109,8.46724128723145,"FMWT"
1994,3,87,0.738099456090352,0.557667763780476,1994-03-08,0.0644109845161438,2.33190488815308,"FMWT"
1994,4,77,0.36843309009617,0.677098135634219,1994-04-05,0.0999002680182457,2.58079886436462,"Bay Study"
1994,11,68,5.33574356127749,3.89367803606372,1993-11-10,0.0816568657755852,10.4505939483643,"FMWT"
1994,12,117,5.23330896022992,4.18480013902989,1993-12-09,0.227543264627457,12.4721794128418,"FMWT"
1995,1,39,5.16553902864838,3.11698960308774,1995-01-06,0.0586655251681805,9.62669849395752,"FMWT"
1995,2,16,0.570432288572192,0.235654069865642,1995-02-07,0.279606312513351,0.977702140808105,"FMWT"
1995,3,22,0.646302904595028,0.434165271263613,1995-03-07,0.125447064638138,1.84819400310516,"FMWT"
1995,4,13,0.263863090139169,0.259662841875397,1995-04-03,0.0596231147646904,0.843988120555878,"Bay Study"
1995,11,5,6.23115295171738,4.59901963602429,1994-11-09,0.36483496427536,12.7679414749146,"FMWT"
1995,12,12,6.44935391594966,4.37431081130164,1994-12-07,0.127380564808846,13.4982566833496,"FMWT"
1996,1,70,0.658573244192771,0.474423615588944,1996-01-04,0.0888520404696465,1.99974083900452,"FMWT"
1996,2,116,0.374003056629465,0.22952533759743,1996-02-07,0.0577079132199287,0.953206062316895,"FMWT"
1996,3,196,0.604925210948805,0.506379551806919,1996-03-05,0.0586655251681805,1.85375070571899,"FMWT"
1996,4,26,0.324621416055239,0.855046567751558,1996-04-01,0.0653685927391052,4.51120090484619,"Bay Study"
1996,11,310,2.57492329040843,1.27730678341774,1995-11-09,0.0629746094346046,6.30897665023804,"FMWT"
1996,12,106,2.95515791115896,1.69749819805023,1995-12-07,0.1975237429142,11.5303344726562,"FMWT"
1997,1,2,0.230039104819298,0.147915481740468,1997-01-09,0.125447064638138,0.334631145000458,"Bay Study"
1997,2,9,0.963938300808271,2.46431106267015,1997-02-05,0.0543559789657593,7.53459548950195,"FMWT"
1997,3,46,0.166284341446084,0.498136500585129,1997-03-05,0.0342166423797607,3.30128908157349,"FMWT"
1997,4,9,0.267577859262625,0.246697089038536,1997-04-16,0.082615815103054,0.867248237133026,"Bay Study"
1997,11,32,0.970607261173427,1.03311702750499,1996-11-04,0.252275913953781,5.7953200340271,"Bay Study"
1997,12,80,2.69293384086341,0.791080755692023,1996-12-10,0.078301414847374,4.46960830688477,"FMWT"
1998,1,42,2.69359785495769,1.55083801655115,1998-01-08,0.123514339327812,4.74947023391724,"FMWT"
1998,3,51,0.224373658571173,0.391545492748141,1998-03-04,0.0457325242459774,1.75446426868439,"FMWT"
1998,4,3,0.171129636466503,0.072457265049196,1998-04-07,0.116273604333401,0.253267496824265,"Bay Study"
1998,11,59,2.77787017961175,3.0723649358423,1997-11-12,0.082615815103054,11.780327796936,"FMWT"
1998,12,116,2.64290885177666,1.60217445284144,1997-12-03,0.166707888245583,8.00997734069824,"FMWT"
1999,1,12,1.08735945820808,0.0817685136123697,1999-01-07,1.03429234027863,1.26035249233246,"Bay Study"
1999,2,39,1.06320121769722,1.75398493541527,1999-02-05,0.0922123938798904,8.49801731109619,"FMWT"
1999,3,81,0.438141402960927,1.00589842640065,1999-03-15,0.0390181131660938,4.67490243911743,"FMWT"
1999,4,9,0.131456471151776,0.0532430513757282,1999-04-29,0.0859730988740921,0.245339646935463,"20mm"
1999,11,23,2.64092553180197,1.91188282114413,1998-11-04,0.125447064638138,5.26508140563965,"FMWT"
1999,12,99,0.819800854858124,1.20358201142239,1998-12-16,0.0495661608874798,8.02997303009033,"FMWT"
2000,1,119,3.59284561885004,3.01683959039437,2000-01-12,0.076384574174881,10.2700710296631,"FMWT"
2000,2,175,0.624264483430556,0.332391005222131,2000-02-08,0.0481287650763988,0.939377427101135,"FMWT"
2000,3,186,0.241882669288785,0.256912233785057,2000-03-07,0.0581867210566998,2.9049026966095,"FMWT"
2000,4,35,1.09705228805542,0.907208063203183,2000-04-04,0.105673156678677,2.05581164360046,"Bay Study"
2000,11,163,3.50331093846289,3.55180534506699,1999-11-04,0.0653685927391052,10.0694246292114,"FMWT"
2000,12,153,1.5728347489939,2.45811102863346,1999-12-02,0.0696782618761063,9.29925060272217,"FMWT"
2001,1,63,7.43250078081139,3.97746265698679,2001-01-09,0.236434236168861,13.1299495697021,"FMWT"
