"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count"
1994,2,1994-02-14,41.6369535234436,11.8543253666813,875
1994,3,1994-03-11,43.216386490421,13.612585303446,567
1994,4,1994-04-06,26.8078855317763,16.5184610039955,168
1994,11,1993-11-08,44.5987870217721,12.9915492044281,1348
1994,12,1993-12-08,40.8529048003417,12.7003169266004,386
1995,1,1995-01-09,40.2965809662644,9.71348175820244,807
1995,2,1995-02-21,46.1295803775161,12.9753448370504,178
1995,3,1995-03-08,45.151501332611,13.3394776491243,205
1995,4,1995-04-19,41.4444820637088,11.1738232913309,169
1995,11,1994-11-28,38.922037778504,8.19023909191596,203
1995,12,1994-12-15,43.4704191676909,11.699708363082,1534
1996,1,1996-01-15,40.1769631250429,9.16586111755512,5911
1996,2,1996-02-07,45.3481687431745,12.3543838447841,557
1996,3,1996-03-25,42.6987253853268,12.1277517864775,1817
1996,4,1996-04-21,44.6069641618588,12.3809863160472,2413
1996,11,1995-11-09,37.905391964018,7.34240634219721,1261
1996,12,1995-12-13,39.2326463195516,8.17340800971528,879
1997,1,1997-01-18,59.7808973768288,12.5427579002451,13
1997,2,1997-02-18,43.4683940522989,13.601924525159,27
1997,3,1997-03-11,40.4963972105954,14.5464637066351,126
1997,4,1997-04-22,32.0720444084946,22.7609212867989,57
1997,11,1996-11-14,38.7518815314519,13.9058247603822,184
1997,12,1996-12-09,40.5565814615279,9.59070754133502,954
1998,1,1998-01-09,43.9648845752946,12.2994289675951,452
1998,2,1998-02-20,46.7532560062134,13.5035193462798,34
1998,3,1998-03-09,44.0283274757042,17.5642309075929,216
1998,4,1998-04-20,40.9795644257015,10.0989582969369,229
1998,11,1997-11-12,35.1520264910595,12.9361790352262,171
1998,12,1997-12-17,44.5785058446178,12.0793348241039,1432
1999,1,1999-01-11,39.3168967285148,8.13675532680062,1744
1999,2,1999-02-10,42.2388071765911,10.5004818676204,333
1999,3,1999-03-15,40.5961466899899,15.5378481209395,449
1999,4,1999-04-14,43.1694261508683,12.060963530818,894
1999,11,1998-11-14,40.5140391149812,10.1999463020982,373
1999,12,1998-12-24,41.9702267136876,10.416366773679,1325
2000,1,2000-01-10,40.2888392232177,10.539484708537,1922
2000,2,2000-02-08,43.5362841845502,12.0218465124445,352
2000,3,2000-03-09,42.9506289922839,11.8305857937805,413
2000,4,2000-04-09,41.1990778647799,11.7979574640351,267
2000,11,1999-11-10,34.1165027246043,11.4563385896226,565
2000,12,1999-12-16,39.5109347451045,9.97701101329501,2777
2001,1,2001-01-19,44.739429832534,12.4107510655585,733
2001,2,2001-02-06,41.1955615671916,11.1097299016275,636
2001,3,2001-03-14,39.2920357151645,13.426823956805,161
2001,4,2001-04-08,37.1386176131133,18.8381162323567,58
2001,11,2000-11-14,35.6997862917547,11.6511857701695,355
2001,12,2000-12-08,35.0414078919489,16.7481784268522,398
2002,1,2002-01-08,37.6269733363369,12.0368537615131,396
2002,2,2002-02-05,37.8778683875862,11.5023961559442,460
2002,3,2002-03-05,25.0117396602837,15.5594707353226,284
2002,4,2002-04-15,35.4682527410543,18.9790839407558,34
2002,11,2001-11-13,31.802120524755,13.9966002921078,82
2002,12,2001-12-11,31.8657641382728,13.7716623102144,97
2003,1,2003-01-13,40.1375902145251,10.7683493916049,227
2003,2,2003-02-20,33.7380576922769,19.4733209481681,425
2003,3,2003-03-18,21.8561436826474,19.2339735370583,460
2003,4,2003-04-14,21.0873128727366,16.5004318220841,119
2003,11,2002-11-06,30.3896965205385,16.3474215535498,89
2003,12,2002-12-22,42.8960528779129,13.6230593632048,251
2004,1,2004-01-27,35.5985453847665,10.373297812836,1060
2004,2,2004-02-17,32.5628102660163,11.9550555318998,481
2004,3,2004-03-09,40.6170493625281,13.1426946057108,316
2004,4,2004-04-08,28.1009016794128,12.4835159846235,125
2004,11,2003-11-04,18.2327015131842,11.7732091724826,44
2004,12,2003-12-04,23.0947038848792,17.8583942382433,96
2005,1,2005-01-27,31.5264802215807,13.7301980758602,318
2005,2,2005-02-24,27.2336172257898,19.5147123592237,345
2005,3,2005-03-07,24.4903030917206,19.8326311692332,189
2005,4,2005-04-15,22.2837967610122,20.3246999128861,149
2005,11,2004-11-22,35.3243281002641,12.9901475163667,145
2005,12,2004-12-12,37.5131752311731,11.4512881009406,223
2006,1,2006-01-19,39.3757842802833,18.0543395427472,117
2006,2,2006-02-17,40.9054101082073,17.2129488650002,301
2006,3,2006-03-16,38.9748602049761,20.2448615051419,226
2006,4,2006-04-12,17.8869340094689,20.6340329974327,126
2006,11,2005-11-02,35.001346879696,14.9512843614151,12
2006,12,2005-12-09,34.9917187822661,12.5648332862308,89
2007,1,2007-01-19,32.9258437178731,17.7058981720926,385
2007,2,2007-02-07,14.169594427203,16.5728696216519,217
2007,3,2007-03-09,24.0725971143139,18.7370141431774,147
2007,4,2007-04-05,9.00280313106254,15.2057468115775,110
2007,11,2006-11-16,33.4284794692004,12.442158254588,11
2007,12,2006-12-18,37.2223361496076,11.0506861829257,12
2008,1,2008-01-09,22.8228365384016,15.1937788813132,175
2008,2,2008-02-04,15.4914103382836,18.7708691291831,47
2008,3,2008-03-10,11.6360033872476,17.8743262518143,77
2008,4,2008-04-10,10.4223905676823,15.1574836679083,28
2008,11,2007-11-15,25.6045358890042,15.1500534610221,9
2008,12,2007-12-12,29.4889982567543,12.7784402409129,39
2009,1,2009-01-14,10.5436358859555,16.1931891918923,595
2009,2,2009-02-13,27.494400628177,12.5492501929309,80
2009,3,2009-03-18,10.9383868624104,15.8487482649461,80
2009,4,2009-04-15,14.7698878158645,18.1812400885592,39
2009,11,2008-11-07,24.9596098652464,11.6808788093372,14
2009,12,2008-12-16,25.8700910661847,15.0690181474428,13
2010,1,2010-01-14,29.1493040130635,17.5724253077076,160
2010,2,2010-02-11,34.2232473527647,17.5399665525417,86
2010,3,2010-03-10,21.3481885688128,22.268207420746,130
2010,4,2010-04-07,5.4301429131306,12.2146081263678,137
2010,11,2009-11-18,37.6239205376561,8.03445292627669,51
2010,12,2009-12-16,33.650311535926,15.4373266812356,50
2011,1,2011-01-12,13.8967100710158,19.2961635652583,215
2011,2,2011-02-10,23.5308237048615,17.0896790498584,159
2011,3,2011-03-10,35.3000721500846,16.4834123491846,125
2011,4,2011-04-06,16.2266807905691,20.9542709307189,81
2011,11,2010-11-22,38.1656462278966,14.4598907853712,25
2011,12,2010-12-13,40.634341456104,11.0052915218129,128
2012,1,2012-01-19,27.0131751670126,20.2974181358312,433
2012,2,2012-02-15,29.3823370293602,18.4222045379522,352
2012,3,2012-03-08,19.3526886847612,18.9624630256584,462
2012,4,2012-04-05,30.6765086546652,19.242162331396,305
2012,11,2011-11-15,32.685950680145,16.8818410027218,80
2012,12,2011-12-12,27.934422087697,14.7352712734114,340
2013,1,2013-01-09,29.157474866138,21.8884690349234,157
2013,2,2013-02-06,20.8585180269386,19.8761516204069,181
2013,3,2013-03-06,25.2897734337644,19.0540089829538,103
2013,4,2013-04-04,27.5839630401381,17.7477459356003,40
2013,11,2012-11-15,21.7726450794064,13.6422838122215,77
2013,12,2012-12-07,38.4564675409107,11.2562752399372,79
2014,1,2014-01-16,30.0974037128756,13.2655642764661,200
2014,2,2014-02-12,28.3111128832742,17.804856151194,92
2014,3,2014-03-12,22.1785597790394,21.7500299673287,135
2014,4,2014-04-08,12.5323896150618,16.4965880652945,49
2014,11,2013-11-07,23.5888988811156,15.1493865417293,21
2014,12,2013-12-14,37.19435885139,13.1261065049898,70
2015,1,2015-01-14,24.4317054946689,14.666415375444,25
2015,2,2015-02-11,25.1214433983431,15.2070699469981,78
2015,3,2015-03-11,14.280173236634,13.5779721709073,7
2015,4,2015-04-07,6.32502785734804,8.09440599864501,2
2015,12,2014-12-17,23.8412247575943,14.4182123685483,50
2016,1,2016-01-13,21.0050104910417,15.7749774724523,9
2016,2,2016-02-10,25.7858891393386,19.419065774018,7
2016,3,2016-03-09,8.10482480274042,17.0739963308125,8
2016,4,2016-04-04,0.60141848602909,0,13
2016,12,2015-12-15,26.6999188224867,17.1933496089714,9
2017,1,2017-01-11,34.1413589437277,19.7103005130955,84
2017,2,2017-02-09,42.310018820555,16.2945887042553,60
2017,3,2017-03-08,32.4210882021541,20.0248702534969,43
2017,4,2017-04-05,18.511140921377,19.1463246706802,8
2017,11,2016-11-07,18.7454904770714,3.04635170281342,9
2017,12,2016-12-08,19.4543382180565,12.3542296240724,274
2018,1,2018-01-10,32.6306282450707,16.6431287481923,20
2018,2,2018-02-08,32.7050137773183,10.3681027324452,7
2018,3,2018-03-14,23.11837367097,11.9903574338601,6
2018,11,2017-11-27,38.1962592892418,24.5027794680978,4
2018,12,2017-12-13,24.4358237122561,13.3752089312155,8
2019,1,2019-01-26,22.3175154901647,16.0754769411365,18
2019,2,2019-02-16,33.5958508837281,20.9309334959286,8
2019,3,2019-03-03,36.4626278033954,NA,1
2019,11,2018-11-07,42.0664226658339,21.3756320165343,11
2019,12,2018-12-12,29.2030536519869,16.0276619260801,17
2020,1,2020-01-15,29.0612541968415,13.0528351910016,4
2020,2,2020-02-12,17.2134716678269,5.96502349999415,3
2020,3,2020-03-10,45.573927235491,16.4872363558107,2
2020,11,2019-11-12,40.6127281220403,23.1858199583554,3
2020,12,2019-12-18,31.6986405511873,11.004654595441,8
2021,1,2021-01-06,84.8308539437737,NA,1
2021,11,2020-11-09,81.250522500538,NA,1
