"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1"
1985,11,"1984-11-05",72.6317510841786,4.34714479909949,6,1984-11-15,1984-12-07,"No",1984,26280,2865,31818.5666666667,1489.13333333333,7996.26666666667,25952.7333333333,72.4522085633333,-5101.09574649139,1984-11-01,13235.4838709677,4029.35483870968,18056.6451612903,19.5483870967742,5622.03225806452,11899.3225806452,74.3578737393548
1985,12,"1984-12-06",50.7471303690999,14.562178194996,29,1984-11-15,1984-12-07,"Yes",1984,32558.064516129,4774.83870967742,39733.3870967742,1131.35483870968,8464.51612903226,31066.3225806452,64.2851875896774,-4570.14028252271,1984-12-01,26280,2865,31818.5666666667,1489.13333333333,7996.26666666667,25952.7333333333,72.4522085633333
1986,1,"1986-01-06",50.0514642016469,NA,1,1985-12-04,1986-03-04,"Yes",1986,19964.5161290323,2059.67741935484,23316.2903225806,142.387096774194,9070.54838709677,15208.8387096774,80.8235369706452,-7845.99543866844,1986-01-01,16106.4516129032,2205.16129032258,19091.2903225806,181.774193548387,9858.61290322581,9430.16129032258,81.8707942596774
1986,2,"1986-02-03",62.2973903915682,20.4641231586238,7,1985-12-04,1986-03-04,"Yes",1986,68892.8571428571,8743.57142857143,207820.035714286,115390.928571429,6074,205414.107142857,61.9742646360714,-5101.09574649139,1986-02-01,19964.5161290323,2059.67741935484,23316.2903225806,142.387096774194,9070.54838709677,15208.8387096774,80.8235369706452
1986,3,"1986-03-04",59.067953932092,20.0980189747359,31,1985-12-04,1986-03-04,"Yes",1986,74983.8709677419,25035.4838709677,168596.290322581,58664.4193548387,3199.12903225806,169447.483870968,45.8980756845161,-4570.14028252271,1986-03-01,68892.8571428571,8743.57142857143,207820.035714286,115390.928571429,6074,205414.107142857,61.9742646360714
1986,4,"1986-04-19",55.3572439086276,4.2511013741733,23,1985-12-04,1986-03-04,"Yes",1986,25826.6666666667,19590,50072.5333333333,1151.26666666667,4729.1,46539.0666666667,52.20319155,-7905.55414379175,1986-04-01,74983.8709677419,25035.4838709677,168596.290322581,58664.4193548387,3199.12903225806,169447.483870968,45.8980756845161
1986,11,"1985-11-08",48.5742916193431,1.80156704854378,20,1985-12-04,1986-03-04,"No",1985,10417.6666666667,1929,12680.7333333333,24.9666666666667,7330.43333333333,6889.7,89.981530705,-5101.09574649139,1985-11-01,9710.64516129032,2071.93548387097,12011.9677419355,20,7715.77419354839,3365.54838709677,92.0595459512903
1986,12,"1985-12-03",48.1363465040348,5.23577865771927,30,1985-12-04,1986-03-04,"No",1985,16106.4516129032,2205.16129032258,19091.2903225806,181.774193548387,9858.61290322581,9430.16129032258,81.8707942596774,-4570.14028252271,1985-12-01,10417.6666666667,1929,12680.7333333333,24.9666666666667,7330.43333333333,6889.7,89.981530705
1987,1,"1987-01-05",40.5068093680845,4.6759068226434,6,1987-02-15,1987-03-15,"No",1987,13170.9677419355,2305.16129032258,15984.9032258065,25,6251.90322580645,10818.1612903226,77.3944753445161,-7845.99543866844,1987-01-01,13109.6774193548,3706.12903225806,17406.1612903226,25,7260.06451612903,8986.35483870968,78.8341850625806
1987,2,"1987-02-14",50.0277215809545,12.5706006386516,4,1987-02-15,1987-03-15,"No",1987,17403.5714285714,2136.07142857143,20150.2857142857,30.6428571428571,6845.35714285714,16859.1428571429,74.1258912478571,-5101.09574649139,1987-02-01,13170.9677419355,2305.16129032258,15984.9032258065,25,6251.90322580645,10818.1612903226,77.3944753445161
1987,3,"1987-03-10",51.7182543402615,12.5224264450697,18,1987-02-15,1987-03-15,"Yes",1987,21577.4193548387,3414.51612903226,26321.6774193548,219.258064516129,5600.22580645161,22915.9677419355,71.6922064948387,-4570.14028252271,1987-03-01,17403.5714285714,2136.07142857143,20150.2857142857,30.6428571428571,6845.35714285714,16859.1428571429,74.1258912478571
1987,4,"1987-04-10",54.8535425054448,2.07659505601277,41,1987-02-15,1987-03-15,"Yes",1987,11826.3333333333,2867,15165.8666666667,45.7666666666667,7100.4,6212.23333333333,76.4958668633333,-7905.55414379175,1987-04-01,21577.4193548387,3414.51612903226,26321.6774193548,219.258064516129,5600.22580645161,22915.9677419355,71.6922064948387
