"Station","Facility","dist_km"
"PP56","Skinner",35.6822790993218
"PP61","Skinner",33.7121321897307
"PP9","Skinner",34.4919977819441
"PT2","Skinner",83.0990427107748
"RV1","Skinner",46.3806797747913
"SB001M","Skinner",71.6597359330134
"SB001S","Skinner",71.5247658158671
"SB018M","Skinner",53.4068250369756
"SB018N","Skinner",53.4999676121076
"SB018S","Skinner",53.2619365867702
"SB018X","Skinner",53.4282588802277
"SB1","Skinner",81.4661840779136
"SB2","Skinner",80.6923808920613
"SBM103","Skinner",64.3943933103207
"SBM14","Skinner",69.6062908605557
"SBM2","Skinner",64.7552696400763
"SBM4","Skinner",67.0022069534428
"SBM53","Skinner",61.9560746640254
"SBM58","Skinner",66.1826680289866
"SBM59","Skinner",69.8314615799422
"SBM6","Skinner",65.8516728890977
"SBM62","Skinner",66.4900751158495
"SBM7","Skinner",61.74566607899
"SBM8","Skinner",70.3400421421074
"SBW103","Skinner",69.6971746861237
"SBW108","Skinner",71.4802486823369
"SBW52","Skinner",70.5880654212972
"SBW53","Skinner",68.5751770158875
"SBW56","Skinner",69.0986981729849
"SBW57","Skinner",67.7317453871366
"SBW58","Skinner",72.3828333882821
"SBW61","Skinner",68.8113062128235
"SBW62","Skinner",74.3469178915112
"SBW63","Skinner",71.8800105812143
"SBW64","Skinner",73.1980332741933
"SF014E","Skinner",55.6120609990024
"SJ001S","Skinner",41.3752086922179
"SJ005N","Skinner",38.08752220149
"SJ026S","Skinner",32.4106995387091
"SJ032S","Skinner",30.2056420372583
"SJ041N","Skinner",40.7779507841512
"SJ051E","Skinner",33.2110850203897
"SJ054M","Skinner",29.5815711029137
"SJ056E","Skinner",33.141887419447
"SJ058W","Skinner",35.1177920841355
"SJT10","Skinner",37.3576268466328
"SJT109","Skinner",37.6877603026121
"SJT11","Skinner",39.3221421918133
"SJT111","Skinner",36.7794178415693
"SJT13","Skinner",37.5696326087999
"SJT14","Skinner",38.3316156331923
"SJT15","Skinner",36.7579839983167
"SJT16","Skinner",36.3354434604255
"SJT17","Skinner",38.5961027636545
"SJT18","Skinner",37.4143949835793
"SJT2","Skinner",37.9807838271829
"SJT20","Skinner",35.898876281411
"SJT21","Skinner",36.6683926986125
"SJT4","Skinner",37.8431241185163
"SJT51","Skinner",37.5421363591834
"SJT52","Skinner",37.679922258534
"SJT59","Skinner",37.2655244159906
"SJT60","Skinner",38.4158800197557
"SJT64","Skinner",37.0731768593632
"SJT66","Skinner",36.187613037331
"SJT68","Skinner",36.5770257611938
"SJT8","Skinner",39.1904186988309
"SJT9","Skinner",36.862642083638
"SM1","Skinner",76.3354827506654
"SM3","Skinner",75.6926675645763
"SM51","Skinner",69.8316400405168
"SPE101","Skinner",87.0339050770407
"SR012E","Skinner",47.6373429109042
"SR012W","Skinner",48.0161018084824
"SR014W","Skinner",54.4263711015406
"SR017E","Skinner",58.2418655180163
"SR024E","Skinner",61.2681853117511
"SR036W","Skinner",73.7459085965224
"SR043W","Skinner",79.2314238471611
"SR049E","Skinner",95.496052884401
"SR055M","Skinner",104.752419227293
"SR055W","Skinner",104.068207341146
"SR055X","Skinner",104.852359702012
"SR057E","Skinner",108.31983809468
"SR060E","Skinner",113.62690623913
"SR062E","Skinner",116.655737163801
"SR071E","Skinner",129.966669092994
"SR080E","Skinner",67.6675483971546
"SS011N","Skinner",90.2700764231203
"SSC1","Skinner",88.7656423891895
"SSC51","Skinner",81.6513768137879
"SU1","Skinner",81.7238733087888
"SU2","Skinner",74.2491099756672
"SU3","Skinner",72.1907165621301
"SU4","Skinner",80.9629304288882
"SU6","Skinner",42.4920056399924
"TM001N","Skinner",81.3857233481569
"WL1","Skinner",80.9720609988373
"WL2","Skinner",57.5975793454824
"XC001N","Skinner",63.4268238512742
"072","TFCF",64.0780863839772
"073","TFCF",63.2665639641745
"18-19-CS03","TFCF",70.8843878399229
"18-20-GB01","TFCF",83.7740717570544
"18-23-LSSC03","TFCF",73.9773941036619
"18-23-SM01","TFCF",75.2575713720042
"18-24-SM01","TFCF",77.5607937104677
"18-25-SM01","TFCF",84.1359882313005
"18-26-LSSC01","TFCF",76.009331412074
"18-26-SM02","TFCF",48.9745929674772
"18-27-LSR01","TFCF",49.5761376441864
"18-29-RV02","TFCF",46.6746172531727
"18-30-LSR01","TFCF",95.2577911285644
"18-31-USSC01","TFCF",88.6321432584904
"18-33-LSSC03","TFCF",74.2483744824439
"18-33-SM03","TFCF",46.2420321915379
"18-34-LSR02","TFCF",88.1556503658598
"18-34-LSSC02","TFCF",74.1432332852375
"19-19-LSSC03","TFCF",48.193382579501
"19-20-LSR02","TFCF",86.168661032935
"19-20-LSSC03","TFCF",84.1402749999507
"19-21-LSSC02","TFCF",89.988442218056
"19-22-LSSC01","TFCF",71.8995948659276
"19-22-LSSC02","TFCF",75.0899042827937
"19-22-SM02","TFCF",70.863689489893
"19-22-SM04","TFCF",66.7712784789343
"19-23-LSSC02","TFCF",46.9726630396177
"19-24-LSR01","TFCF",82.4873273196258
"19-24-SM02","TFCF",49.9191314061169
"19-25-LSR01","TFCF",46.8574773186953
"19-25-LSR02","TFCF",87.2612083552598
"19-25-LSSC02","TFCF",74.4137828220646
"19-25-LSSC03","TFCF",67.281330027545
"19-26-LSSC03","TFCF",63.5853081006481
"19-27-CS02","TFCF",58.5422439748294
"19-27-HB01","TFCF",60.285927639153
"19-27-LSSC01","TFCF",64.6757751339898
"19-27-LSSC02","TFCF",75.7140491379064
