"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1"
1984,11,"1983-11-09",64.4963281497327,4.18197656133487,95,1983-11-12,1984-01-16,"No",1983,48820,10876.3333333333,71674.5333333333,5985.4,1754.33333333333,74137.1333333333,60.3115402563333,-5101.09574649139,1983-11-01,21148.3870967742,13322.5806451613,36150.4516129032,188.225806451613,2506.22580645161,32282.6451612903,62.8524559190323
1984,12,"1983-12-06",74.4549805937491,11.487356033316,17,1983-11-12,1984-01-16,"Yes",1983,74512.9032258065,19125.8064516129,154696.483870968,51892.2580645161,2142.1935483871,154586.870967742,50.4754610045161,-4570.14028252271,1983-12-01,48820,10876.3333333333,71674.5333333333,5985.4,1754.33333333333,74137.1333333333,60.3115402563333
1985,1,"1985-01-10",41.8022006445221,6.05822635608654,6,1984-11-15,1984-12-07,"Yes",1985,16790.3225806452,4070.32258064516,21381.1290322581,48.4838709677419,5835.25806451613,15120.2258064516,68.44782162,-7845.99543866844,1985-01-01,32558.064516129,4774.83870967742,39733.3870967742,1131.35483870968,8464.51612903226,31066.3225806452,64.2851875896774
1985,2,"1985-02-05",46.7389908918942,7.23488321523829,7,1984-11-15,1984-12-07,"Yes",1985,18271.4285714286,3242.5,22682.7857142857,156.785714285714,7614.46428571429,15589.9285714286,71.7629455539286,-5101.09574649139,1985-02-01,16790.3225806452,4070.32258064516,21381.1290322581,48.4838709677419,5835.25806451613,15120.2258064516,68.44782162
1985,3,"1985-03-27",48.3242603171878,3.02097224954505,6,1984-11-15,1984-12-07,"Yes",1985,14309.6774193548,2742.58064516129,18008.3870967742,4.61290322580645,8638.58064516129,10409.8064516129,75.8094290009677,-4570.14028252271,1985-03-01,18271.4285714286,3242.5,22682.7857142857,156.785714285714,7614.46428571429,15589.9285714286,71.7629455539286
1985,4,"1985-04-08",52.2359601549009,4.0266433445468,104,1984-11-15,1984-12-07,"Yes",1985,12495.3333333333,2445,15830.8666666667,0,7408.43333333333,6846.1,78.3715133426667,-7905.55414379175,1985-04-01,14309.6774193548,2742.58064516129,18008.3870967742,4.61290322580645,8638.58064516129,10409.8064516129,75.8094290009677
1985,11,"1984-11-05",61.4843291254299,6.16333066143881,6,1984-11-15,1984-12-07,"No",1984,26280,2865,31818.5666666667,1489.13333333333,7996.26666666667,25952.7333333333,72.4522085633333,-5101.09574649139,1984-11-01,13235.4838709677,4029.35483870968,18056.6451612903,19.5483870967742,5622.03225806452,11899.3225806452,74.3578737393548
1985,12,"1984-12-06",52.7643064178375,15.9092455137693,29,1984-11-15,1984-12-07,"Yes",1984,32558.064516129,4774.83870967742,39733.3870967742,1131.35483870968,8464.51612903226,31066.3225806452,64.2851875896774,-4570.14028252271,1984-12-01,26280,2865,31818.5666666667,1489.13333333333,7996.26666666667,25952.7333333333,72.4522085633333
1986,1,"1986-01-06",45.2276868494107,NA,1,1985-12-04,1986-03-04,"Yes",1986,19964.5161290323,2059.67741935484,23316.2903225806,142.387096774194,9070.54838709677,15208.8387096774,80.8235369706452,-7845.99543866844,1986-01-01,16106.4516129032,2205.16129032258,19091.2903225806,181.774193548387,9858.61290322581,9430.16129032258,81.8707942596774
1986,2,"1986-02-03",59.3852311085222,13.501391684924,7,1985-12-04,1986-03-04,"Yes",1986,68892.8571428571,8743.57142857143,207820.035714286,115390.928571429,6074,205414.107142857,61.9742646360714,-5101.09574649139,1986-02-01,19964.5161290323,2059.67741935484,23316.2903225806,142.387096774194,9070.54838709677,15208.8387096774,80.8235369706452
